accountid,_transactioncurrencyid_value,numberofemployees,name,industrycode,revenue,total_cases,high_severity_cases,avg_priority,total_opportunities,pipeline_value,avg_close_probability,weighted_pipeline,risk_score,risk_tier,risk_summary
773d5455-1053-f111-a821-00224808976e,1cb97aa4-1f11-f111-8342-6045bd027886,0.0,Contoso Ltd,,0.0,0,0,0.0,0,0.0,0.0,0.0,42.5,Medium,Contoso Ltd has a medium risk score of 42/100. Key factors: weak revenue pipeline; low close probability (0%). Recommend proactive outreach and account review.
9f3d5455-1053-f111-a821-00224808976e,1cb97aa4-1f11-f111-8342-6045bd027886,0.0,Babbage & Co.,,0.0,0,0,0.0,0,0.0,0.0,0.0,42.5,Medium,Babbage & Co. has a medium risk score of 42/100. Key factors: weak revenue pipeline; low close probability (0%). Recommend proactive outreach and account review.
81a35b60-1053-f111-a821-00224808976e,1cb97aa4-1f11-f111-8342-6045bd027886,0.0,DF-Batch-A,,0.0,0,0,0.0,0,0.0,0.0,0.0,42.5,Medium,DF-Batch-A has a medium risk score of 42/100. Key factors: weak revenue pipeline; low close probability (0%). Recommend proactive outreach and account review.
82a35b60-1053-f111-a821-00224808976e,1cb97aa4-1f11-f111-8342-6045bd027886,0.0,DF-Batch-B,,0.0,0,0,0.0,0,0.0,0.0,0.0,42.5,Medium,DF-Batch-B has a medium risk score of 42/100. Key factors: weak revenue pipeline; low close probability (0%). Recommend proactive outreach and account review.
6f2ae954-ee4e-f111-bec3-6045bd0a9d1e,1cb97aa4-1f11-f111-8342-6045bd027886,0.0,Contoso Ltd,,0.0,0,0,0.0,0,0.0,0.0,0.0,42.5,Medium,Contoso Ltd has a medium risk score of 42/100. Key factors: weak revenue pipeline; low close probability (0%). Recommend proactive outreach and account review.
f52ae954-ee4e-f111-bec3-6045bd0a9d1e,1cb97aa4-1f11-f111-8342-6045bd027886,0.0,Babbage & Co.,,0.0,0,0,0.0,0,0.0,0.0,0.0,42.5,Medium,Babbage & Co. has a medium risk score of 42/100. Key factors: weak revenue pipeline; low close probability (0%). Recommend proactive outreach and account review.
4ffaf75a-ee4e-f111-bec3-6045bd0a9d1e,1cb97aa4-1f11-f111-8342-6045bd027886,0.0,DF-Batch-A,,0.0,0,0,0.0,0,0.0,0.0,0.0,42.5,Medium,DF-Batch-A has a medium risk score of 42/100. Key factors: weak revenue pipeline; low close probability (0%). Recommend proactive outreach and account review.
50faf75a-ee4e-f111-bec3-6045bd0a9d1e,1cb97aa4-1f11-f111-8342-6045bd027886,0.0,DF-Batch-B,,0.0,0,0,0.0,0,0.0,0.0,0.0,42.5,Medium,DF-Batch-B has a medium risk score of 42/100. Key factors: weak revenue pipeline; low close probability (0%). Recommend proactive outreach and account review.
5267d8e5-554d-f111-bec3-7ced8d71674a,1cb97aa4-1f11-f111-8342-6045bd027886,0.0,Contoso Ltd,,0.0,0,0,0.0,0,0.0,0.0,0.0,42.5,Medium,Contoso Ltd has a medium risk score of 42/100. Key factors: weak revenue pipeline; low close probability (0%). Recommend proactive outreach and account review.
6f67d8e5-554d-f111-bec3-7ced8d71674a,1cb97aa4-1f11-f111-8342-6045bd027886,0.0,Babbage & Co.,,0.0,0,0,0.0,0,0.0,0.0,0.0,42.5,Medium,Babbage & Co. has a medium risk score of 42/100. Key factors: weak revenue pipeline; low close probability (0%). Recommend proactive outreach and account review.
61145dfb-554d-f111-bec3-7ced8d71674a,1cb97aa4-1f11-f111-8342-6045bd027886,0.0,DF-Batch-A,,0.0,0,0,0.0,0,0.0,0.0,0.0,42.5,Medium,DF-Batch-A has a medium risk score of 42/100. Key factors: weak revenue pipeline; low close probability (0%). Recommend proactive outreach and account review.
62145dfb-554d-f111-bec3-7ced8d71674a,1cb97aa4-1f11-f111-8342-6045bd027886,0.0,DF-Batch-B,,0.0,0,0,0.0,0,0.0,0.0,0.0,42.5,Medium,DF-Batch-B has a medium risk score of 42/100. Key factors: weak revenue pipeline; low close probability (0%). Recommend proactive outreach and account review.
